,codimap_category,codimap_title,codimap_date,views,comment_numbers
0,캐주얼,톤온톤 코디,21.07.02,"조회 16,095",댓글 49
1,캐주얼,블랙 매니아,21.02.23,"조회 34,684",댓글 46
2,캐주얼,오늘의 코디,22.03.22,"조회 12,207",댓글 38
3,댄디,추천 댄디 룩,21.09.15,"조회 20,193",댓글 27
4,캐주얼,릴랙스 룩,21.02.23,"조회 23,546",댓글 22
5,스트릿,힙하다 힙해,21.02.03,"조회 35,296",댓글 21
6,캐주얼,심플한 코디,21.07.30,"조회 39,594",댓글 18
7,댄디,데이트 코디,21.12.24,"조회 10,317",댓글 18
8,댄디,훈훈 남친 룩,21.03.24,"조회 19,352",댓글 16
9,캐주얼,지금 입기 좋아,21.08.31,"조회 20,221",댓글 16
10,댄디,서머 데이트 룩,21.07.26,"조회 7,870",댓글 15
11,댄디,남친 룩으로 제격,21.12.24,"조회 9,655",댓글 14
12,포멀,깔끔하게 즐겨,21.11.09,"조회 6,316",댓글 13
13,아메리칸 캐주얼,남다른 감각,21.11.17,"조회 4,339",댓글 11
14,캐주얼,편안함의 완성,21.10.04,"조회 19,429",댓글 11
15,캐주얼,원 마일 웨어,21.10.08,"조회 16,786",댓글 10
16,아메리칸 캐주얼,아메리칸 캐주얼,21.12.21,"조회 4,497",댓글 10
17,캐주얼,편하게 완성,21.07.21,"조회 14,989",댓글 10
18,캐주얼,레이어드의 매력,21.06.04,"조회 12,676",댓글 9
19,포멀,매력적인 포멀 룩,21.09.17,"조회 11,340",댓글 9
20,댄디,레이어드의 매력,21.11.23,"조회 10,166",댓글 8
21,캐주얼,발랄함 가득!,21.07.05,"조회 3,143",댓글 8
22,댄디,남친 룩의 정석,20.11.04,"조회 16,272",댓글 8
23,포멀,손색 없는 단정함,21.11.12,"조회 3,161",댓글 8
24,시크,시크한 감각,21.08.20,"조회 3,719",댓글 8
25,캐주얼,서머 캠퍼스 룩,22.07.19,"조회 3,140",댓글 8
26,캐주얼,꾸안꾸 코디,22.11.04,"조회 3,877",댓글 8
27,포멀,깔끔한 매력,21.03.08,"조회 13,733",댓글 8
28,캐주얼,러블리 캐주얼,20.11.18,"조회 9,422",댓글 7
29,캐주얼,캠퍼스 룩,21.07.12,"조회 7,348",댓글 7
30,캐주얼,오늘의 무드,21.12.06,"조회 6,964",댓글 7
31,캐주얼,캐주얼 룩의 정석,20.11.06,"조회 16,157",댓글 7
32,캐주얼,잘 고른 재킷,20.10.28,"조회 20,266",댓글 7
33,포멀,단정한 모습,21.11.26,"조회 5,657",댓글 7
34,댄디,훈훈한 스타일,21.12.29,"조회 3,517",댓글 7
35,아메리칸 캐주얼,실패 없는 코디,21.06.11,"조회 8,276",댓글 6
36,캐주얼,피크닉 가자!,21.08.20,"조회 2,697",댓글 6
37,댄디,데이트하는 날,21.09.07,"조회 16,911",댓글 6
38,댄디,레더 스타일링,21.09.28,"조회 8,155",댓글 6
39,아메리칸 캐주얼,센스 있는 아메카지,22.10.26,"조회 7,005",댓글 6
40,캐주얼,귀여운 프레피 룩,21.06.04,"조회 12,150",댓글 6
41,캐주얼,남친 룩 추천,21.06.11,"조회 10,880",댓글 6
42,아메리칸 캐주얼,아메카지 무드,22.06.17,"조회 4,691",댓글 6
43,로맨틱,레트로 스타일링,21.05.17,"조회 2,299",댓글 6
44,포멀,깔끔한 연출,21.11.10,"조회 3,576",댓글 6
45,포멀,클래식한 실루엣,21.01.15,"조회 4,240",댓글 6
46,포멀,완벽한 스타일링,21.09.15,"조회 3,988",댓글 6
47,캐주얼,멋 내는 방법,21.07.02,"조회 5,903",댓글 5
48,걸리시,귀여운 매치,21.05.17,"조회 1,920",댓글 5
49,스트릿,스트릿 무드,21.09.06,"조회 4,288",댓글 5
50,캐주얼,캐주얼 룩의 정석,21.03.12,"조회 10,979",댓글 5
51,스트릿,스트라이프 활용법,21.02.19,"조회 2,803",댓글 5
52,걸리시,누구나 반해,21.12.24,"조회 4,546",댓글 5
53,포멀,데이트 룩 완성!,21.02.08,"조회 10,463",댓글 5
54,캐주얼,편하게 멋 내봐,21.09.08,"조회 11,402",댓글 5
55,댄디,레이어드 코디,21.06.10,"조회 2,571",댓글 5
56,캐주얼,그린 포인트!,21.05.28,"조회 5,432",댓글 5
57,캐주얼,트렌디해!,21.12.24,"조회 2,705",댓글 5
58,캐주얼,가볍게 툭!,21.05.31,"조회 3,441",댓글 5
59,캐주얼,레트로 무드,21.03.12,"조회 11,484",댓글 5
